time,x,y,z
63.187673000000004,-1232.0,610.0,3904.0
63.328059,-1280.0,786.0,3936.0
63.54701000000001,-1264.0,674.0,3968.0
63.625147000000005,-1296.0,786.0,3760.0
63.703234,-1232.0,818.0,4016.0
63.73447900000001,-1344.0,786.0,3904.0
63.781074000000004,-1264.0,738.0,4032.0
63.859184000000006,-1296.0,690.0,3936.0
63.906051000000005,-1296.0,754.0,3872.0
63.98440300000001,-1344.0,674.0,3936.0
64.031024,-1232.0,754.0,3904.0
64.09350500000001,-1344.0,898.0,3776.0
64.109341,-1200.0,818.0,4000.0
64.140584,-1248.0,770.0,3840.0
64.203111,-1168.0,658.0,3936.0
64.25002400000001,-1440.0,754.0,3904.0
64.328096,-1200.0,786.0,3936.0
64.421548,-1200.0,786.0,3968.0
64.468412,-1232.0,706.0,3952.0
64.515556,-1328.0,754.0,3824.0
64.624883,-1200.0,754.0,3824.0
64.67184300000001,-1280.0,802.0,3968.0
64.76555900000001,-1312.0,610.0,4016.0
64.859215,-1296.0,610.0,3856.0
64.968629,-1264.0,802.0,3920.0
65.14057600000001,-1216.0,690.0,3840.0
65.21820100000001,-1232.0,834.0,3776.0
65.312332,-1328.0,786.0,3920.0
65.410082,-1264.0,770.0,3936.0
65.472233,-1312.0,706.0,3952.0
65.597466,-1232.0,834.0,3920.0
65.62870600000001,-1344.0,738.0,3968.0
65.76903800000001,-1264.0,738.0,3936.0
65.784934,-1296.0,834.0,3904.0
65.988062,-1264.0,754.0,3840.0
66.003606,-1296.0,706.0,3792.0
66.050223,-1200.0,770.0,3888.0
66.12832300000001,-1200.0,706.0,3888.0
66.20680300000001,-1184.0,642.0,3872.0
66.25331200000001,-1264.0,770.0,3744.0
66.44104800000001,-1328.0,706.0,3936.0
66.55040600000001,-1216.0,786.0,3824.0
66.56569400000001,-1328.0,706.0,3968.0
66.706597,-1232.0,738.0,3984.0
66.753518,-1328.0,722.0,4080.0
66.768763,-1184.0,754.0,3888.0
66.831288,-1232.0,738.0,3968.0
66.973173,-1248.0,834.0,3936.0
67.069663,-1264.0,754.0,3936.0
67.178871,-1280.0,882.0,3888.0
67.31927300000001,-1232.0,850.0,3904.0
67.335155,-1280.0,802.0,3856.0
67.485274,-1296.0,690.0,3824.0
67.547709,-1392.0,786.0,3904.0
67.625923,-1312.0,802.0,4016.0
67.781919,-1376.0,802.0,3984.0
67.829026,-1200.0,770.0,3984.0
67.969646,-1216.0,786.0,3856.0
68.14120600000001,-1232.0,754.0,3888.0
68.235158,-1264.0,722.0,3936.0
68.37551900000001,-1216.0,706.0,3840.0
68.42263600000001,-1296.0,754.0,3936.0
68.516355,-1216.0,706.0,3968.0
68.610123,-1264.0,642.0,4176.0
68.821425,-1264.0,882.0,4048.0
68.930947,-1328.0,898.0,3936.0
69.02470600000001,-1344.0,690.0,4032.0
69.16510000000001,-1200.0,850.0,3904.0
69.22786400000001,-1312.0,754.0,3984.0
69.415311,-1424.0,738.0,3952.0
69.63398600000001,-1312.0,706.0,4064.0
69.71207100000001,-1216.0,738.0,3888.0
69.821509,-1280.0,834.0,3936.0
69.915181,-1376.0,658.0,3904.0
69.961751,-1248.0,754.0,3888.0
70.11800600000001,-1296.0,898.0,4016.0
70.227547,-1264.0,802.0,3888.0
70.336701,-1232.0,722.0,4032.0
70.399145,-1136.0,722.0,3984.0
70.43043200000001,-1200.0,786.0,3968.0
70.461685,-1264.0,738.0,4000.0
70.50854000000001,-1264.0,818.0,3888.0
70.649457,-1232.0,594.0,3872.0
70.711983,-1152.0,722.0,3792.0
70.96173300000001,-1232.0,722.0,3936.0
71.009135,-1152.0,818.0,3952.0
71.13404100000001,-1232.0,786.0,3920.0
71.29035,-1312.0,610.0,4000.0
71.368442,-1344.0,786.0,3920.0
71.555666,-1264.0,786.0,3936.0
71.60274700000001,-1248.0,786.0,3888.0
71.680817,-1200.0,754.0,3872.0
71.868222,-1152.0,818.0,3824.0
71.94638900000001,-1232.0,738.0,3872.0
71.961989,-1328.0,578.0,3904.0
72.024219,-1296.0,834.0,3856.0
72.086983,-1280.0,818.0,3968.0
72.102635,-1264.0,674.0,4016.0
72.180418,-1296.0,674.0,4048.0
72.258796,-1280.0,658.0,3904.0
72.368196,-1296.0,786.0,4032.0
72.47722300000001,-1360.0,754.0,3968.0
72.52409200000001,-1248.0,786.0,3728.0
72.571202,-1264.0,754.0,3808.0
72.60247000000001,-1392.0,626.0,3968.0
72.664935,-1296.0,706.0,3840.0
72.696303,-1184.0,578.0,3952.0
72.80555000000001,-1296.0,658.0,3920.0
72.88664700000001,-1296.0,738.0,3728.0
72.91789,-1184.0,818.0,3984.0
72.964715,-1200.0,706.0,3952.0
73.011837,-1264.0,738.0,3936.0
73.121211,-1168.0,802.0,3984.0
73.16782500000001,-1168.0,850.0,4064.0
73.27744200000001,-1280.0,626.0,3872.0
73.33991400000001,-1504.0,802.0,3904.0
73.433829,-1296.0,738.0,3936.0
